"","name","friendlyName","dimensions","friendlyName_with_dimensions"
"134","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='TLB',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='TLB',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='TLB',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"135","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='TRM',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='TRM',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='TRM',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"136","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='acpi_9',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='acpi_9',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='acpi_9',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"137","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='ata_piix_14',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='ata_piix_14',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='ata_piix_14',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"138","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='ata_piix_15',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='ata_piix_15',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='ata_piix_15',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"139","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='ens3_11',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='ens3_11',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='ens3_11',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"140","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='floppy_6',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='floppy_6',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='floppy_6',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"141","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='i8042_1',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='i8042_1',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='i8042_1',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"142","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='i8042_12',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='i8042_12',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='i8042_12',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"143","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='rtc0_8',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='rtc0_8',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='rtc0_8',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
